k,measured_primitive_generators,euler_totient_phi_k,exact_agreement
2,1,1,True
3,2,2,True
4,2,2,True
5,4,4,True
6,2,2,True
7,6,6,True
8,4,4,True
9,6,6,True
10,4,4,True
11,10,10,True
12,4,4,True
13,12,12,True
14,6,6,True
15,8,8,True
16,8,8,True
17,16,16,True
18,6,6,True
19,18,18,True
20,8,8,True
21,12,12,True
22,10,10,True
23,22,22,True
24,8,8,True
25,20,20,True
26,12,12,True
27,18,18,True
28,12,12,True
29,28,28,True
30,8,8,True
31,30,30,True
32,16,16,True
33,20,20,True
34,16,16,True
35,24,24,True
36,12,12,True
37,36,36,True
38,18,18,True
39,24,24,True
40,16,16,True
41,40,40,True
42,12,12,True
43,42,42,True
44,20,20,True
45,24,24,True
46,22,22,True
47,46,46,True
48,16,16,True
49,42,42,True
50,20,20,True
51,32,32,True
52,24,24,True
53,52,52,True
54,18,18,True
55,40,40,True
56,24,24,True
57,36,36,True
58,28,28,True
59,58,58,True
60,16,16,True
61,60,60,True
62,30,30,True
63,36,36,True
64,32,32,True
65,48,48,True
66,20,20,True
67,66,66,True
68,32,32,True
69,44,44,True
70,24,24,True
71,70,70,True
72,24,24,True
